,Album,Song_Name,Formatted_name
0,Midnights,MidnightRain,MidnightRain
1,Midnights,Maroon,Maroon
2,Midnights,Labyrinth,Labyrinth
3,Midnights,YoureOnYourOwn_Kid,You're On Your Own Kid
4,Midnights,SnowOnTheBeach,SnowOnTheBeach
5,Midnights,Question____,Question____
6,Midnights,VigilanteShit,Vigilante Shit
7,Midnights,Karma,Karma
8,Midnights,SweetNothing,SweetNothing
9,Midnights,Bejeweled,Bejeweled
10,Midnights,Anti_Hero,Anti Hero
11,Midnights,Mastermind,Mastermind
12,Midnights,LavenderHaze,Lavender Haze
13,TaylorSwift,PicturetoBurn,Picture to Burn
14,TaylorSwift,TimMcGraw,Tim McGraw
15,TaylorSwift,TheOutside,The Outside
16,TaylorSwift,TeardropsOnMyGuitar,TeardropsOnMyGuitar
17,TaylorSwift,MarysSong_OhMyMyMy_,MarysSong_OhMyMyMy_
18,TaylorSwift,TiedTogetherwithaSmile,Tied Together with a Smile
19,TaylorSwift,APerfectlyGoodHeart,A Perfectly Good Heart
20,TaylorSwift,APlaceInThisWorld,A Place In This World
21,TaylorSwift,ColdasYou,Cold as You
22,TaylorSwift,OurSong,Our Song
23,TaylorSwift,StayBeautiful,Stay Beautiful
24,TaylorSwift,TaylorSwift_LinerNotes_,Taylor Swift Liner Notes
25,TaylorSwift,ImOnlyMeWhenImWithYou,I'm Only Me When I'm With You
26,TaylorSwift,InvisibleString,Invisible String
27,TaylorSwift,ShouldveSaidNo,Should've Said No
28,TaylorSwift,TeardropsonMyGuitar_PopVersion_,Teardrops on My Guitar (Pop Version)
29,FearlessPlatinumEdition,Fifteen,Fifteen
30,FearlessPlatinumEdition,SuperStar,Super Star
31,FearlessPlatinumEdition,Change,Change
32,FearlessPlatinumEdition,TheBestDay,The Best Day
33,FearlessPlatinumEdition,HeyStephen,Hey Stephen
34,FearlessPlatinumEdition,TellMeWhy,Tell Me Why
35,FearlessPlatinumEdition,Forever_Always_PianoVersion_,Forever Always Piano Version
36,FearlessPlatinumEdition,YouBelongWithMe,YouBelongWithMe
37,FearlessPlatinumEdition,JumpThenFall,Jump Then Fall
38,FearlessPlatinumEdition,Fearless,Fearless
39,FearlessPlatinumEdition,TheWayILovedYou,The Way I Loved You
40,FearlessPlatinumEdition,Untouchable,Untouchable
41,FearlessPlatinumEdition,Forever_Always,Forever_Always
42,FearlessPlatinumEdition,TheOtherSideOfTheDoor,The Other Side Of The Door
43,FearlessPlatinumEdition,WhiteHorse,White Horse
44,FearlessPlatinumEdition,Breathe,Breathe
45,FearlessPlatinumEdition,LoveStory,Love Story
46,FearlessPlatinumEdition,ComeInWiththeRain,Come In With the Rain
47,FearlessPlatinumEdition,YoureNotSorry,You're Not Sorry
48,Red,ComeBack___BeHere,Come Back Be Here
49,Red,IAlmostDo,I Almost Do
50,Red,Treacherous,Treacherous
51,Red,TheLastTime,The Last Time
52,Red,AllTooWell,All Too Well
53,Red,StateofGrace,State of Grace
54,Red,StayStayStay,Stay Stay Stay
55,Red,EverythingHasChanged,EverythingHasChanged
56,Red,Starlight,Starlight
57,Red,TheLuckyOne,The Lucky One
58,Red,HolyGround,Holy Ground
59,Red,WeAreNeverEverGettingBackTogether,We Are Never Ever Getting Back Together
60,Red,Red,Red
61,Red,SadBeautifulTragic,Sad Beautiful Tragic
62,Red,BeginAgain,Begin Again
63,Red,IKnewYouWereTrouble,I Knew You Were Trouble
64,Red,22,22
65,Red,GirlatHome,Girl at Home
66,Red,TheMomentIKnew,The Moment I Knew
67,1989,BadBlood,Bad Blood
68,1989,BlankSpace,Blank Space
69,1989,IKnowPlaces,I Know Places
70,1989,ThisLove,This Love
71,1989,OutOfTheWoods,Out Of The Woods
72,1989,WildestDreams,Wildest Dreams
73,1989,WelcometoNewYork,Welcome to New York
74,1989,AllYouHadtoDoWasStay,All You Had to Do Was Stay
75,1989,ShakeItOff,Shake It Off
76,1989,Style,Style
77,1989,1989_Booklet_,1989
78,1989,IWishYouWould,I Wish You Would
79,1989,Clean,Clean
80,1989,HowYouGetTheGirl,How You Get The Girl
81,Reputation,IDidSomethingBad,I Did Something Bad
82,Reputation,___ReadyforIt_,Ready for it
83,Reputation,Delicate,Delicate
84,Reputation,DontBlameMe,Don't Blame Me
85,Reputation,WhySheDisappeared_Poem_,Why She Disappeared Poem
86,Reputation,LookWhatYouMadeMeDo,Look What You Made Me Do
87,Reputation,EndGame,End Game
88,Reputation,CallItWhatYouWant,Call It What You Want
89,Reputation,NewYearsDay,New Year's Day
90,Reputation,Gorgeous,Gorgeous
91,Reputation,GetawayCar,GetawayCar
92,Reputation,ReputationMagazineVol_1,Reputation
93,Reputation,Dress,Dress
94,Reputation,KingofMyHeart,King of My Heart
95,Reputation,DancingWithOurHandsTied,Dancing With Our Hands Tied
96,Reputation,SoItGoes___,So It Goes
97,Reputation,Reputation_Prologue_,Reputation Prologue
98,Reputation,IfYoureAnythingLikeMe_Poem_,If You're Anything Like Me Poem
99,Reputation,ThisIsWhyWeCantHaveNiceThings,This Is Why We Can't Have Nice Things
100,Lover,ItsNicetoHaveaFriend,It's Nice to Have a Friend
101,Lover,ME_,Me
102,Lover,CorneliaStreet,CorneliaStreet
103,Lover,YouNeedToCalmDown,You Need To Calm Down
104,Lover,TheMan,The Man
105,Lover,Lover,Lover
106,Lover,TheArcher,The Archer
107,Lover,DeathbyaThousandCuts,DeathbyaThousandCuts
108,Lover,PaperRings,Paper Rings
109,Lover,Afterglow,Afterglow
110,Lover,SoonYoullGetBetter,Soon You'll Get Better
111,Lover,IForgotThatYouExisted,I Forgot That You Existed
112,Lover,Daylight,Daylight
113,Lover,MissAmericana_TheHeartbreakPrince,Miss Americana & The Heartbreak Prince
114,Lover,CruelSummer,Cruel Summer
115,Lover,LondonBoy,London Boy
116,Lover,FalseGod,False God
117,Lover,IThinkHeKnows,I Think He Knows
118,Folklore,thelastgreatamericandynasty,The Last Great American Dynasty
119,Folklore,thisismetrying,This Is Me Trying
120,Folklore,epiphany,Epiphany
121,Folklore,mytearsricochet,my tears ricochet
122,Folklore,exile,Exile
123,Folklore,mirrorball,Mirror Ball
124,Folklore,seven,Seven
125,Folklore,peace,peace
126,Folklore,the1,The 1
127,Folklore,cardigan,Cardigan
128,Folklore,betty,betty
129,Folklore,invisiblestring,Invisible String
130,Folklore,august,August
131,Folklore,hoax,Hoax
132,Folklore,madwoman,madwoman
133,Folklore,illicitaffairs,Illicit Affairs
134,Evermore,tisthedamnseason,tisthedamnseason
135,Evermore,evermore,Evermore
136,Evermore,happiness,Happiness
137,Evermore,tolerateit,Tolerate It
138,Evermore,willow,willow
139,Evermore,marjorie,marjorie
140,Evermore,ivy,Ivy
141,Evermore,dorothea,Dorothea
142,Evermore,closure,Closure
143,Evermore,cowboylikeme,Cowboy Like Me
144,Evermore,longstoryshort,Long Story Short
145,Evermore,goldrush,goldrush
146,Evermore,nobody_nocrime,Nobody No Crime
147,Evermore,champagneproblems,Champagne Problems
148,Evermore,coneyisland,Coney Island
149,SpeakNow,Mine,Mine
150,SpeakNow,SpeakNow,Speak Now
151,SpeakNow,NeverGrowUp,Never Grow Up
152,SpeakNow,TheStoryOfUs,The Story of Us
153,SpeakNow,BetterThanRevenge,BetterThanRevenge
154,SpeakNow,LastKiss,Last Kiss
155,SpeakNow,SparksFly,Sparks Fly
156,SpeakNow,BacktoDecember,Back to December
157,SpeakNow,DearJohn,Dear John
158,SpeakNow,Enchanted,Enchanted
159,SpeakNow,Mean,Mean
160,SpeakNow,Haunted,Haunted
161,SpeakNow,Innocent,Innocent
162,SpeakNow,LongLive,Long Live
163,THETORTUREDPOETSDEPARTMENT,DownBad,Down Bad
164,THETORTUREDPOETSDEPARTMENT,ICanDoItWithABrokenHeart,I Can Do It With a Broken Heart
165,THETORTUREDPOETSDEPARTMENT,GuiltyasSin_,Guilty as Sin
166,THETORTUREDPOETSDEPARTMENT,Florida___,Florida___
167,THETORTUREDPOETSDEPARTMENT,ButDaddyILoveHim,But Daddy I Love Him
168,THETORTUREDPOETSDEPARTMENT,ClaraBow,ClaraBow
169,THETORTUREDPOETSDEPARTMENT,loml,loml
170,THETORTUREDPOETSDEPARTMENT,TheAlchemy,The Alchemy
171,THETORTUREDPOETSDEPARTMENT,MyBoyOnlyBreaksHisFavoriteToys,My Boy Only Breaks His Favorite Toys
172,THETORTUREDPOETSDEPARTMENT,TheTorturedPoetsDepartment,The Tortured Poets Department
173,THETORTUREDPOETSDEPARTMENT,SoLong_London,SoLong_London
174,THETORTUREDPOETSDEPARTMENT,ICanFixHim_NoReallyICan_,I Can Fix Him No Really I Can
175,THETORTUREDPOETSDEPARTMENT,WhosAfraidofLittleOldMe_,Who's Afraid of Little Old Me
176,THETORTUREDPOETSDEPARTMENT,Fortnight,Fortnight
177,THETORTUREDPOETSDEPARTMENT,FreshOutTheSlammer,Fresh Out The Slammer
178,THETORTUREDPOETSDEPARTMENT,TheSmallestManWhoEverLived,The Smallest Man Who Ever Lived
